name;probability;windScale;blendTime;skybox;fakeShadow;backgroundThunder;envPath;envBlend;occurenceTime;1_effect;1_priority;1_prob;1_strength;1_type;2_effect;2_priority;2_prob;2_strength;2_type;3_effect;3_priority;3_prob;3_strength;3_type;4_effect;4_priority;4_prob;4_strength;4_type;5_effect;5_priority;5_prob;5_strength;5_type;AH
WT_Clear;0.0;0.3;120;1;1;false;;;900;dlc\bob\data\fx\environment\weather\clouds\bob_mid_clouds_small_2.w2p;90;1.0;1.0;CLOUDS;;;;;;;;;;;;;;;;;;;;;
WT_Rain_Storm;0.04;1.0;120;1;3;true;dlc\bob\data\environment\definitions\rainy\rain_tm.env;1.0;120;dlc\bob\data\fx\environment\weather\clouds\bob_storm_layer.w2p;90;1.0;1.0;CLOUDS;dlc\bob\data\fx\environment\weather\clouds\bob_storm_clouds.w2p;80;1.0;1.0;CLOUDS;dlc\bob\data\fx\environment\weather\bob_heavy_storm.w2p;60;1.0;1.0;RAIN;dlc\bob\data\fx\environment\weather\bob_thunderstrike_distant.w2p;70;0.6;1.0;THUNDERBOLT;;;;;;
WT_Light_Clouds;0.0;0.3;120;1;1;false;;;900;dlc\bob\data\fx\environment\weather\clouds\bob_mid_clouds_small_2.w2p;90;1.0;1.0;CLOUDS;;;;;;;;;;;;;;;;;;;;;
WT_Mid_Clouds;0.85;0.3;120;1;1;false;;;900;dlc\bob\data\fx\environment\weather\clouds\bob_mid_clouds_small_2.w2p;90;1.0;1.0;CLOUDS;;;;;;;;;;;;;;;;;;;;;
WT_Fog;0.08;0.2;120;1;2;false;dlc\bob\data\environment\definitions\foggy\fog_tm.env;1.0;240;dlc\bob\data\fx\environment\weather\clouds\bob_storm_layer.w2p;90;1.0;1.0;CLOUDS;dlc\bob\data\fx\environment\weather\clouds\bob_fog_clouds.w2p;80;1.0;1.0;CLOUDS;dlc\bob\data\fx\environment\weather\clouds\bob_fog_layer.w2p;60;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_Heavy_Distant;0.0;0.5;120;1;1;false;;1.0;800;dlc\bob\data\fx\environment\weather\clouds\bob_mid_clouds_small_2.w2p;90;1.0;1.0;CLOUDS;;;;;;;;;;;;;;;;;;;;;
WT_Snow;0.0;0.6;120;1;3;false;environment\definitions\env_skellige\env_winter_skellige.env;1.0;1000;fx\environment\snow\low\slow_snow_large_area.w2p;60;1.0;1.0;SNOW;fx\environment\cloud\cumulus_layer_particles.w2p;70;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh_3.w2p;80;1.0;1.0;CLOUDS;;;;;;;;;;;
q704_Cloud;0.0;0.5;120;1;2;false;;;900;dlc\bob\data\fx\quest\q704\q704_weather_clouds.w2p;90;1.0;1.0;CLOUDS;;;;;;;;;;;;;;;;;;;;;
q704_Detlaff_arena;0.0;0.7;120;1;3;false;dlc\bob\data\environment\definitions\quests\q704\temp\q704_detlaff_arena_prod_room.env;1.0;120;dlc\bob\data\fx\environment\weather\clouds\bob_storm_layer.w2p;90;1.0;1.0;CLOUDS;dlc\bob\data\fx\environment\weather\clouds\bob_storm_clouds.w2p;80;1.0;1.0;CLOUDS;dlc\bob\data\fx\environment\weather\bob_heavy_storm.w2p;60;1.0;1.0;CLOUDS;;;;;;;;;;;
q704_main;0.0;0.3;120;1;3;false;dlc\bob\data\environment\definitions\quests\q704\q704_main.env;1.0;120;dlc\bob\data\fx\environment\weather\clouds\bob_storm_layer.w2p;90;1.0;1.0;CLOUDS;dlc\bob\data\fx\environment\weather\clouds\bob_storm_clouds.w2p;80;1.0;1.0;CLOUDS;dlc\bob\data\fx\environment\weather\bob_heavy_storm.w2p;60;1.0;1.0;;;;;;;;;;;;
q704_Cloud_Rain;0.0;0.5;120;1;2;false;dlc\bob\data\environment\definitions\quests\q704\704_cloud.env;1.0;900;dlc\bob\data\fx\quest\q704\q704_storm_layer.w2p;90;1.0;1.0;CLOUDS;;;;;;dlc\bob\data\fx\quest\q704\q704_storm.w2p;60;1.0;1.0;RAIN;;;;;;;;;;;
q704_Cloud_Sunny;0.0;0.5;120;1;2;false;dlc\bob\data\environment\definitions\quests\q704\704_cloud_sunny.env;1.0;900;dlc\bob\data\fx\quest\q704\q704_weather_clouds.w2p;90;1.0;1.0;CLOUDS;dlc\bob\data\fx\environment\weather\clouds\bob_storm_clouds.w2p;80;1.0;1.0;CLOUDS;dlc\bob\data\fx\environment\weather\bob_heavy_storm.w2p;60;1.0;1.0;;;;;;;;;;;;
