friendlyName;animsetDepotPath
leshy;animations\monsters\monster_lessun.w2anims
halberd;animations\man\combat\man_halberd_2handed.w2anims
shield;animations\man\combat\man_shield.w2anims
ep2_noblewoman;dlc\bob\data\animations\animations\woman\community\woman_noble_work.w2anims
ep2_woman;dlc\bob\data\animations\animations\woman\community\woman_work.w2anims
ep2_woman_quest;dlc\bob\data\animations\animations\woman\quest\woman_quest.w2anims
ep2_panther;dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims
kikimore;dlc\bob\data\animations\animations\monsters\monster_kikimore.w2anims
mq7021_man;dlc\dlc15\data\animation\man\mq1058_man_dialog.w2anims
ep2_woman_dialog;dlc\bob\data\animations\animations\woman\dialogs\ep2_woman_dialog_animation.w2anims
ep2_child;dlc\bob\data\animations\animations\child\community\child_work.w2anims
ep2_man;dlc\bob\data\animations\animations\man\community\man_work.w2anims
ep2_man_dialog_animation;dlc\bob\data\animations\animations\man\dialogs\ep2_man_dialog_animation.w2anims
;
ep2_noblewoman;dlc\bob\data\animations\animations\woman\quest\woman_noble_quest.w2anims
ep2_man;dlc\bob\data\animations\animations\man\quest\man_quest.w2anims
ep2_child;dlc\bob\data\animations\animations\child\quest\child_quest.w2anims
ep2_fleder;dlc\bob\data\animations\animations\monsters\monster_fleder.w2anims
ep2_bruxa;dlc\bob\data\animations\animations\monsters\monster_bruxa.w2anims
child_dlg_det;animations\child\dialogs\child_dialog_low_standing_determined.w2anims
ep2_dog;dlc\bob\data\animations\animations\animals\dog\dog_animation.w2anims
wight;dlc\bob\data\animations\animations\monsters\monster_wight.w2anims
ep2_noble_woman_dialog;dlc\bob\data\animations\animations\woman\dialogs\noble_woman_dialog_animation.w2anims
ep2_werewolf;animations\monsters\monster_werewolf_dialog.w2anims
ep2_dialog_child;dlc\bob\data\animations\animations\child\dialogs\ep2_child_animations.w2anims
ep2_drinking;animations\interaction\mini_games\drinking_game\drinking_game.w2anims
