Status;Emotional state;Pose;Friendly name;Animation name;Animation type;Transition;Look ats;Tags;Dialog generator - animation speed;Generator generator - animation weight
Anna Henrietta;Relaxed;Standing;idle;ep2_anarietta _standing_relaxed_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;enter back;ep2_anarietta_standing_relaxed_enter_back;Enter;;;;0.72-1.0;0.4-1.0
;;;enter frontal;ep2_anarietta_standing_relaxed_enter_frontal;Enter;;;;0.72-1.0;0.4-1.0
;;;enter left;ep2_anarietta_standing_relaxed_enter_left;Enter;;;;0.72-1.0;0.4-1.0
;;;enter right;ep2_anarietta_standing_relaxed_enter_right;Enter;;;;0.72-1.0;0.4-1.0
;;;exit back;ep2_anarietta_standing_relaxed_exit_back;Exit;;;;0.72-1.0;0.4-1.0
;;;exit frontal;ep2_anarietta_standing_relaxed_exit_frontal;Exit;;;;0.72-1.0;0.4-1.0
;;;exit left;ep2_anarietta_standing_relaxed_exit_left;Exit;;;;0.72-1.0;0.4-1.0
;;;exit right;ep2_anarietta_standing_relaxed_exit_right;Exit;;;;0.72-1.0;0.4-1.0
;;;conversation step 1;ep2_anarietta_standing_relaxed_conversation_step_01;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;conversation step 2;ep2_anarietta_standing_relaxed_conversation_step_02;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;conversation step 3;ep2_anarietta_standing_relaxed_conversation_step_03;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;explain 01;ep2_anarietta_standing_relaxed_gesture_explain_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 02;ep2_anarietta_standing_relaxed_gesture_explain_02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 03;ep2_anarietta_standing_relaxed_gesture_explain_03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 04;ep2_anarietta_standing_relaxed_gesture_explain_04;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 05;ep2_anarietta_standing_relaxed_gesture_explain_05;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;impatient 01;ep2_anarietta_standing_relaxed_gesture_impatient_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;impatient 02;ep2_anarietta_standing_relaxed_gesture_impatient_02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;show front;ep2_anarietta_standing_relaxed_gesture_show_front;Gesture;;;;0.72-1.0;0.4-1.0
;;;show left;ep2_anarietta_standing_relaxed_gesture_show_left;Gesture;;;;0.72-1.0;0.4-1.0
;;;show right;ep2_anarietta_standing_relaxed_gesture_show_right;Gesture;;;;0.72-1.0;0.4-1.0
;;;turn 45 left;ep2_anarietta_standing_relaxed_turn_45_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 45 right;ep2_anarietta_standing_relaxed_turn_45_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 90 left;ep2_anarietta_standing_relaxed_turn_90_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 90 right;ep2_anarietta_standing_relaxed_turn_90_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 180 left;ep2_anarietta_standing_relaxed_turn_180_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 180 right;ep2_anarietta_standing_relaxed_turn_180_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;walk end;ep2_anarietta_standing_relaxed_walk_cycle_end;Move;;;;0.72-1.0;0.4-1.0
;;;walk loop;ep2_anarietta_standing_relaxed_walk_cycle_loop;Move;;;;0.72-1.0;0.4-1.0
;;;walk start;ep2_anarietta_standing_relaxed_walk_cycle_start;Move;;;;0.72-1.0;0.4-1.0
;;;weight shift 01;ep2_anarietta_standing_relaxed_weight_shift_01;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;weight shift 02;ep2_anarietta_standing_relaxed_weight_shift_02;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;to: Anna Henrietta Standing Tense;ep2_anarietta_standing_relaxed_to_ep2_anarietta_standing_tense;Transition;Anna Henrietta, Tense,  Standing;;;0.72-1.0;0.4-1.0
;;;to: Anna Henrietta Sitting Royal;ep2_anarietta_sitting_royal_to_ep2_anarietta_standing_relaxed;Transition;Anna Henrietta, Royal,  Sitting;;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;ep2_anarietta_standing_relaxed_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Standing Tense;ep2_anarietta_standing_relaxed_to_high_standing_proud;Transition;High, Proud,  Standing;;;0.72-1.0;0.4-1.0
;Royal;Sitting;idle;ep2_anarietta_sitting_royal_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;explain 01;ep2_anarietta_sitting_royal_gesture_explain01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 02;ep2_anarietta_sitting_royal_gesture_explain02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 03;ep2_anarietta_sitting_royal_gesture_explain03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;to: Anna Henrietta Standing Relaxed;ep2_anarietta_sitting_royal_to_ep2_anarietta_standing_relaxed;Transition;Anna Henrietta, Relaxed, Standing;;;0.72-1.0;0.4-1.0
;;;to: Anna Henrietta Standing Tense;ep2_anarietta_sitting_royal_to_ep2_standing_tense;Transition;Anna Henrietta, Tense, Standing;;;0.72-1.0;0.4-1.0
;Tense;Standing;idle;ep2_anarietta_standing_tense_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;conversation step 1;ep2_anarietta_standing_tense_conversation_step1;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;conversation step 2;ep2_anarietta_standing_tense_conversation_step2;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;conversation step 3;ep2_anarietta_standing_tense_conversation_step3;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;enter back;ep2_anarietta_standing_tense_enter_back;Enter;;;;0.72-1.0;0.4-1.0
;;;enter frontal;ep2_anarietta_standing_tense_enter_frontal;Enter;;;;0.72-1.0;0.4-1.0
;;;enter left;ep2_anarietta_standing_tense_enter_left;Enter;;;;0.72-1.0;0.4-1.0
;;;enter right;ep2_anarietta_standing_tense_enter_right;Enter;;;;0.72-1.0;0.4-1.0
;;;exit back;ep2_anarietta_standing_tense_exit_back;Exit;;;;0.72-1.0;0.4-1.0
;;;exit frontal;ep2_anarietta_standing_tense_exit_frontal;Exit;;;;0.72-1.0;0.4-1.0
;;;exit left;ep2_anarietta_standing_tense_exit_left;Exit;;;;0.72-1.0;0.4-1.0
;;;exit right;ep2_anarietta_standing_tense_exit_right;Exit;;;;0.72-1.0;0.4-1.0
;;;angry;q705_anarietta_standing_tense_gesture_angry;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 01;ep2_anarietta_standing_tense_gesture_explains01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 02;ep2_anarietta_standing_tense_gesture_explains02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 03;ep2_anarietta_standing_tense_gesture_explains03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 04;ep2_anarietta_standing_tense_gesture_explains04;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 05;ep2_anarietta_standing_tense_gesture_explains05;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;impatient 01;ep2_anarietta_standing_tense_gesture_impatient01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;impatient 02;ep2_anarietta_standing_tense_gesture_impatient02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;runs down stairs start;q701_anarietta_run_down_stairs_cycle_start;Move;;;;0.72-1.0;0.4-1.0
;;;runs down stairs loop;q701_anarietta_run_down_stairs_cycle_loop;Move;;;;0.72-1.0;0.4-1.0
;;;runs down stairs stop;q701_anarietta_run_down_stairs_cycle_stop;Move;;;;0.72-1.0;0.4-1.0
;;;show front;ep2_anarietta_standing_tense_gesture_show_front;Gesture;;;;0.72-1.0;0.4-1.0
;;;show front left;ep2_anarietta_standing_tense_gesture_show_left;Gesture;;;;0.72-1.0;0.4-1.0
;;;show front right;ep2_anarietta_standing_tense_gesture_show_right;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: Anna Henrietta Sitting Royal;ep2_anarietta_standing_tense_to_ep2_anarietta_sitting_royal;Transition;Anna Henrietta, Royal, Sitting;;;0.72-1.0;0.4-1.0
;;;to: Anna Henrietta Standing Relaxed;ep2_anarietta_standing_tense_to_ep2_anarietta_standing_relaxed;Transition;Anna Henrietta, Relaxed, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;ep2_anarietta_standing_tense_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Standing Proud;ep2_anarietta_standing_tense_to_high_standing_proud;Transition;High, Proud, Standing;;;0.72-1.0;0.4-1.0
;;;turn 45 right;ep2_anarietta_standing_tense_turn_45_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 45 right without mex;ep2_anarietta_standing_tense_turn_45_right_without_mex;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 45 left;ep2_anarietta_standing_tense_turn_45_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 90 right;ep2_anarietta_standing_tense_turn_90_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 90 left;ep2_anarietta_standing_tense_turn_90_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 180 right;ep2_anarietta_standing_tense_turn_180_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 180 left;ep2_anarietta_standing_tense_turn_180_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;walk cycle frontal;ep2_anarietta_standing_tense_walk_cycle_frontal;Move;;;;0.72-1.0;0.4-1.0
;;;weight shift 01;ep2_anarietta_standing_tense_weight_shift_01;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;weight shift 02;ep2_anarietta_standing_tense_weight_shift_02;Gesture, Move;;;;0.72-1.0;0.4-1.0
Ciri;Sitting;Under the Tree;idle;q705_ciri_sitting_under_the_tree_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;explain 01;q705_ciri_sitting_under_the_tree_gesture_explain_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 02;q705_ciri_sitting_under_the_tree_gesture_explain_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 03;q705_ciri_sitting_under_the_tree_gesture_explain_03;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: High Standing Neutral;q705_ciri_sitting_under_the_tree_to_high_standing_neutral;Transition;High, Neutral, Standing;;;0.72-1.0;0.4-1.0
Dandelion;Sitting;On A Fence;idle;g705_dandelion_sitting_on_a_fence_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;explain 01;g705_dandelion_sitting_on_a_fence_gerture_explain_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 02;g705_dandelion_sitting_on_a_fence_gerture_explain_02;Gesture;;;;0.72-1.0;0.4-1.0
Regis;Sitting;Drinking;idle;q705_regis_sitting_drinking_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;drink;q705_regis_sitting_drinking_gesture_drink;Gesture;;;;0.72-1.0;0.4-1.0
;;;admire the drink;q705_regis_sitting_drinking_gesture_admire_the_drink;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 01;q705_regis_sitting_drinking_gesture_explain_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;Relaxed;idle;q702_regis_sitting_relaxed_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;to: Regis Sitting Relaxed Hold Bottle;q702_regis_sitting_relaxed_take_bottle_to_regis_sitting_relaxed_hold_bottle;Transition;Regis, Sitting, Relaxed Hold Bottle;;;0.72-1.0;0.4-1.0
;;Relaxed Hold Bottle;idle;q702_regis_sitting_relaxed_hold_bottle_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;take a sip;q702_regis_sitting_relaxed_hold_bottle_gesture_take_a_sip;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: Regis Sitting Relaxed;q702_regis_sitting_relaxed_hold_bottle_give_bottle_to_regis_sitting_relaxed;Transition;Regis, Sitting, Relaxed;;;0.72-1.0;0.4-1.0
;Sitting 3;Drinking;idle;q705_regis_sitting_3_determined_drinking_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;drink;q705_regis_sitting_3_determined_drinking_gesture_drink;Gesture;;;;0.72-1.0;0.4-1.0
;Standing;Hand Straight;idle;regis_standing_hand_straight_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;weight shift 01;regis_standing_hand_straight_weight_shift_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift 02;regis_standing_hand_straight_weight_shift_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 01;regis_standing_hand_straight_gestures_explain01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 02;regis_standing_hand_straight_gestures_explain02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 03;regis_standing_hand_straight_gestures_explain03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 04;regis_standing_hand_straight_gestures_explain04;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 05;regis_standing_hand_straight_gestures_explain05;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;think;regis_standing_hand_straight_gesture_think;Gesture;;;;0.72-1.0;0.4-1.0
;;;examine detlaff hand;q702_regis_high_standing_determined_gesture_examine_hand;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;regis_standing_hand_straight_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;;;to: Regis Standing Belt 1;regis_standing_hand_straight_to_regis_standing_belt_1;Transition;Regis, Standing, Belt 1;;;0.72-1.0;0.4-1.0
;;;to: Regis Standing Submissive;q704_truth_07_regis_standing_hand_straight_to_regis_standing_submissive;Transition;Regis, Standing, Submissive;;;0.72-1.0;0.4-1.0
;;Belt 1;idle;regis_standing_belt_1_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;weight shift 01;regis_standing_belt_1_weight_shift_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift 02;regis_standing_belt_1_weight_shift_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 01;regis_standing_belt_1_gesture_explain_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 02;regis_standing_belt_1_gesture_explain_02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 03;regis_standing_belt_1_gesture_explain_03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 04;regis_standing_belt_1_gesture_explain_04;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 05;regis_standing_belt_1_gesture_explain_05;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;regis_standing_belt_1_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;;;to: Regis Standing Hand Straight;regis_standing_belt_1_to_standing_hand_straight;Transition;Regis, Standing, Hand Straight;;;0.72-1.0;0.4-1.0
;;Submissive;idle;q704_truth_07_regis_standing_submissive_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;to: Regis Standing Paralyzed;q704_truth_07_regis_standing_submissive_to_regis_standing_paralzyed;Transition;Regis, Standing, Paralyzed;;;0.72-1.0;0.4-1.0
;;Paralyzed;idle;q704_truth_07_regis_standing_paralyzed_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;to: Regis Standing Belt 1;q704_truth_07_regis_standing_paralzyed_to_regis_standing_belt_1;Transition;Regis, Standing, Belt 1;;;0.72-1.0;0.4-1.0
Geralt;Standing;Doing Laundry;idle;q705_geralt_standing_doing_laundry_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;look left;q705_geralt_standing_doing_laundry_looking_left;Gesture;;;;0.72-1.0;0.4-1.0
;;;laundry start;q705_geralt_standing_doing_laundry_start;Gesture;;;;0.72-1.0;0.4-1.0
;;;laundry stop;q705_geralt_standing_doing_laundry_stop;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;q705_geralt_standing_doing_laundry_turn_left_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;;Holding Flowers;idle;q705_geralt_holding_flowers_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
