Voicetag;Sex;Pitch;Template;Id
A1DONOTVOICE;M;;;ADNV
AMBROISE PARE;M;;;AMPA
ANNA HENRIETTA;F;;;ANHE
ALCIDES FIERABRAS;M;;;ALFI
BEAU DUVALL;M;;;BEDU
BIG BAD WOLF;M;;;BBWO
BOY WHO CRIED WOLF;M;;;BWCW
BRUXA AGENT;F;;;BRAG
BUCCO;M;;;BCCO
BUTLER;M;;;BUTL
CAMMERLENGO;M;;;CLG
CHARLES LANZANO;M;;;CHLN
CHAMBERLAIN;M;;;CMBR
CIANFANELLI;M;;;CNFN
CYCLOPS;M;;;CYCL
CINKCIARZ;M;;;CNKC
DAMIEN;M;;;DAMI
DAFNE WRAITH;M;;;DWRT
DETTLAFF;M;;;DTLF
DETTLAFF VAMPIRE;M;;;DTLV
DETTLAFF MONSTER;M;;;DTLM
DRUNKEN MASTER;M;;;DRMA
ERLING VAN HEEN;M;;;ERLI
FAIRY TALE WITCH;W;;;FTWI
FOREST NYMPH;W;;;FONY
GOLEM;M;;;GOLM
GOOSE;W;;;GOOS
GUILLAUME;M;;;GULM
GWENT PLAYER NOVIGRAD;M;;;GPNO
GWENT PLAYER OFIR;M;;;GPOF
GWENT PLAYER SKELLIGE;F;;;GPSK
GWENT PLAYER EMBASSADOR;M;;;GPEM
HANDSOME JACK;M;;;HAND
PINASTRI;F;;;HRMT
JACOB LUMBERJACK;M;;;JLBJ
JEAN LOUIS LUDOVIC;M;;;JLLU
KNIGHT SPIRIT;M;;;KSPRT
KNIGHT GHOST;M;;;KNGH
KOVIR NOBLEMAN;M;;;KNOB
KOVIR GUARD 01;M;;;KGD1
KOVIR GUARD 02;M;;;KGD2
LADY OF THE LAKE;F;;;LOTL
LECTOR;F;;;LCTR
LE PAPILLON;M;;;LEPA
LOUIS GHOST;M;;;LOGH
LYNX ROCK WITCH;F;;;LRWCH
NILFGAARDIAN INKEEPER;M;;;NILIN
MAFALDA;F;;;MFLD
MALATESTA;M;;;MLTS
MARGOT GHOST;W;;;MAGH
MATHILDA;W;;;MTHL
MILTON;M;;;MLTN
MOREAU;M;;;MORO
NOTTURNA;F;;;NOTT
OLIVIER;M;;;OLVR
ORIGINAL VAMPIRE;M;;;ORVA
PANTHER;F;;;PNTHR
PALMERIN;M;;;PLMN
POVISS WINE MERCHANT;M;;;PSSWM
PROPHETESS;F;;;PRTS
PRISONER 01;M;;;PRI1
PRISONER 02;M;;;PRI2
PRISONER 03;M;;;PRI3
PRISONER 04;M;;;PRI4
QUELINE;F;;;QUEL
REGIS;M;;;REGI
ROACH;M;;;ROACH
ROYAL BARD;M;;;RLBD
SHARLEY;M;;;SHAR
SILVAN;M;;;SLVN
SNOWDEN;M;;;SNODN
SYANNA;F;;;SYAN
SLAVKO ATIMSTEIN;M;;;SLAV
THEODORE;M;;;THEO
TREE GHOST;W;;;TRGH
TREMBLAY;M;;;TRBY
TRISTAN;M;;;TRST
VIVIENNE;F;;;VIVI
WINE BANDIT;M;;;WIBA
ANCIENT ELF;F;;;ANEL
ARCHAEOLOGIST;M;;;ARCH
ARCHAEOLOGY TROLL;M;;;ARCHT
WIGHT;M;;;WIGT
VAMPIRE DIVA;F;;;VADI
ANGRY DWARF 01;M;;;ADF01
ANGRY DWARF 02;M;;;ADF02
ANGRY DWARF 03;M;;;ADF03
ANGRY DWARF 04;M;;;ADF04
BANK VETERAN;M;;;BKVET
BEAUCLAIR BANK GUARD 01;M;;;BBG01
BEAUCLAIR BANK GUARD 02;M;;;BBG02
BEAUCLAIR BANK GUARD 03;M;;;BBG03
BEAUCLAIR BASTARD 01;M;;;BBA01
BEAUCLAIR BASTARD 02;M;;;BBA02
BEAUCLAIR BASTARD 03;M;;;BBA03
BEAUCLAIR BASTARD 04;M;;;BBA04
BEAUCLAIR BASTARD 05;M;;;BBA05
BEAUCLAIR BASTARD 06;M;;;BBA06
BEAUCLAIR BASTARD 07;M;;;BBA07
BEAUCLAIR BASTARD 08;M;;;BBA08
BEAUCLAIR BASTARD 11;M;;;BBA11
BEAUCLAIR BASTARD 12;M;;;BBA12
BEAUCLAIR BASTARD 13;M;;;BBA13
BEAUCLAIR BASTARD 14;M;;;BBA14
BEAUCLAIR BASTARD 15;M;;;BBA15
BEAUCLAIR BASTARD 16;M;;;BBA16
BEAUCLAIR BASTARD 17;M;;;BBA17
BEAUCLAIR BASTARD 18;M;;;BBA18
BEAUCLAIR BASTARD 19;M;;;BBA19
BEAUCLAIR BASTARD 20;M;;;BBA20
BEAUCLAIR BASTARD 21;M;;;BBA21
BEAUCLAIR BASTARD 22;M;;;BBA22
BEAUCLAIR BASTARD 31;M;;;BBA31
BEAUCLAIR BASTARD 32;M;;;BBA32
BEAUCLAIR BASTARD 33;M;;;BBA33
BEAUCLAIR BASTARD 34;M;;;BBA34
BEAUCLAIR BASTARD 35;M;;;BBA35
BEAUCLAIR BASTARD 36;M;;;BBA36
BEAUCLAIR BASTARD 37;M;;;BBA37
BEAUCLAIR BASTARD 38;M;;;BBA38
BEAUCLAIR BASTARD 39;M;;;BBA39
BEAUCLAIR BASTARD 40;M;;;BBA40
BEAUCLAIR BASTARD 41;M;;;BBA41
BEAUCLAIR BASTARD 42;M;;;BBA42
BEAUCLAIR BASTARD 43;M;;;BBA43
BEAUCLAIR BASTARD 44;M;;;BBA44
BEAUCLAIR BASTARD 45;M;;;BBA45
BEAUCLAIR BASTARD 46;M;;;BBA46
BEAUCLAIR BASTARD 47;M;;;BBA47
BEAUCLAIR BASTARD 48;M;;;BBA48
BEAUCLAIR BASTARD 49;M;;;BBA49
BEAUCLAIR BASTARD 50;M;;;BBA50
BEAUCLAIR BASTARD 51;M;;;BBA51
BEAUCLAIR BASTARD 52;M;;;BBA52
BEAUCLAIR BASTARD 53;M;;;BBA53
BEAUCLAIR BASTARD 54;M;;;BBA54
BEAUCLAIR BANKER MAN 01;M;;;BBN01
BEAUCLAIR BANKER MAN 02;M;;;BBN02
BEAUCLAIR BANKER MAN 03;M;;;BBN03
BEAUCLAIR BANKER WOMAN 01;F;;;BBNW01
BEAUCLAIR BANKER WOMAN 02;F;;;BBNW02
BEAUCLAIR BANKER WOMAN 03;F;;;BBNW03
BEAUCLAIR BEGGAR 01;M;;;BBG01
BEAUCLAIR BEGGAR 02;M;;;BBG02
BEAUCLAIR BEGGAR 03;M;;;BBG03
BEAUCLAIR BEGGAR 04;M;;;BBG04
BEAUCLAIR BEGGAR 05;M;;;BBG05
BEAUCLAIR BEGGAR 11;M;;;BBG11
BEAUCLAIR BEGGAR 12;M;;;BBG12
BEAUCLAIR BEGGAR 13;M;;;BBG13
BEAUCLAIR BEGGAR 31;M;;;BBG31
BEAUCLAIR BEGGAR 32;M;;;BBG32
BEAUCLAIR BEGGAR 33;M;;;BBG33
BEAUCLAIR BEGGAR 34;M;;;BBG34
BEAUCLAIR BEGGAR 35;M;;;BBG35
BEAUCLAIR BEGGAR 36;M;;;BBG36
BEAUCLAIR BEGGAR 37;M;;;BBG37
BEAUCLAIR BEGGAR 38;M;;;BBG38
BEAUCLAIR BEGGAR 39;M;;;BBG39
BEAUCLAIR CITIZEN MAN 01;M;;;BCM01
BEAUCLAIR CITIZEN MAN 02;M;;;BCM02
BEAUCLAIR CITIZEN MAN 03;M;;;BCM03
BEAUCLAIR CITIZEN MAN 11;M;;;BCM11
BEAUCLAIR CITIZEN MAN 12;M;;;BCM12
BEAUCLAIR CITIZEN MAN 13;M;;;BCM13
BEAUCLAIR CITIZEN MAN 31;M;;;BCM31
BEAUCLAIR CITIZEN MAN 32;M;;;BCM32
BEAUCLAIR CITIZEN MAN 33;M;;;BCM33
BEAUCLAIR CITIZEN MAN 34;M;;;BCM34
BEAUCLAIR CITIZEN MAN 35;M;;;BCM35
BEAUCLAIR CITIZEN MAN 36;M;;;BCM36
BEAUCLAIR CITIZEN MAN 37;M;;;BCM37
BEAUCLAIR CITIZEN MAN 38;M;;;BCM38
BEAUCLAIR CITIZEN MAN 39;M;;;BCM39
BEAUCLAIR CITIZEN MAN 40;M;;;BCM40
BEAUCLAIR CITIZEN WOMAN 31;F;;;BCW31
BEAUCLAIR CITIZEN WOMAN 32;F;;;BCW32
BEAUCLAIR CITIZEN WOMAN 33;F;;;BCW33
BEAUCLAIR CITIZEN WOMAN 34;F;;;BCW34
BEAUCLAIR CITIZEN WOMAN 35;F;;;BCW35
BEAUCLAIR CITIZEN WOMAN 36;F;;;BCW36
BEAUCLAIR CITIZEN WOMAN 37;F;;;BCW37
BEAUCLAIR CITIZEN WOMAN 38;F;;;BCW38
BEAUCLAIR CITIZEN WOMAN 39;F;;;BCW39
BEAUCLAIR CITIZEN WOMAN 40;F;;;BCW40
BEAUCLAIR CITIZEN WOMAN 01;F;;;BCW01
BEAUCLAIR CITIZEN WOMAN 02;F;;;BCW02
BEAUCLAIR CITIZEN WOMAN 03;F;;;BCW03
BEAUCLAIR CITIZEN WOMAN 11;F;;;BCW11
BEAUCLAIR CITIZEN WOMAN 12;F;;;BCW12
BEAUCLAIR CITIZEN WOMAN 13;F;;;BCW13
BEAUCLAIR CLERK 01;M;;;BCRK01
BEAUCLAIR CLERK 02;M;;;BCRK02
BEAUCLAIR CLERK 03;M;;;BCRK03
BEAUCLAIR CLERK 11;M;;;BCRK11
BEAUCLAIR CLERK 12;M;;;BCRK12
BEAUCLAIR CLERK 13;M;;;BCRK13
BEAUCLAIR CLERK 14;M;;;BCRK14
BEAUCLAIR CLERK 15;M;;;BCRK15
BEAUCLAIR CLERK 31;M;;;BCRK31
BEAUCLAIR CLERK 32;M;;;BCRK32
BEAUCLAIR CLERK 33;M;;;BCRK33
BEAUCLAIR CLERK 34;M;;;BCRK34
BEAUCLAIR CLERK 35;M;;;BCRK35
BEAUCLAIR CLERK 36;M;;;BCRK36
BEAUCLAIR CLERK 37;M;;;BCRK37
BEAUCLAIR CLERK 38;M;;;BCRK38
BEAUCLAIR CLERK 39;M;;;BCRK39
BEAUCLAIR CLERK 40;M;;;BCRK40
BEAUCLAIR DRUNK MAN 01;M;;;BDKM01
BEAUCLAIR DRUNK MAN 02;M;;;BDKM02
BEAUCLAIR DRUNK MAN 03;M;;;BDKM03
BEAUCLAIR DRUNK MAN 04;M;;;BDKM04
BEAUCLAIR DRUNK MAN 05;M;;;BDKM05
BEAUCLAIR DRUNK MAN 06;M;;;BDKM06
BEAUCLAIR DRUNK MAN 07;M;;;BDKM07
BEAUCLAIR DRUNK MAN 08;M;;;BDKM08
BEAUCLAIR DRUNK MAN 09;M;;;BDKM09
