Status;Emotional state;Pose;Friendly name;Animation name;Animation type;Transition;Look ats;Tags;Dialog generator - animation speed;Generator generator - animation weight
High;Aggressive;Standing Leaning Back;put donkey ears;ep1_high_standing_leaning_back_aggressive_gesture_put_on_donkey_ears;Gesture;;;;0.72-1.0;0.72-1.0
;Determined;Standing;geralt sneaking start;ep1_geralt_sneaking_cycle_start;Gesture;;;;0.72-1.0;0.72-1.0
;;;geralt sneaking loop;ep1_geralt_sneaking_cycle_loop;Gesture;;;;0.72-1.0;0.72-1.0
;;;geralt sneaking stop;ep1_geralt_sneaking_cycle_stop;Gesture;;;;0.72-1.0;0.72-1.0
;;;ascend stairs start;ep1_high_standing_determined_ascend_stairs_cycle_start;Gesture;;;;0.72-1.0;0.72-1.0
;;;ascend stairs loop;ep1_high_standing_determined_ascend_stairs_cycle_loop;Gesture;;;;0.72-1.0;0.72-1.0
;;;ascend stairs start;ep1_high_standing_determined_ascend_stairs_cycle_stop;Gesture;;;;0.72-1.0;0.72-1.0
;;;descend stairs start;ep1_high_standing_determined_descend_stairs_cycle_start;Gesture;;;;0.72-1.0;0.72-1.0
;;;descend stairs loop;ep1_high_standing_determined_descend_stairs_cycle_loop;Gesture;;;;0.72-1.0;0.72-1.0
;;;descend stairs stop;ep1_high_standing_determined_descend_stairs_cycle_stop;Gesture;;;;0.72-1.0;0.72-1.0
;;;exit back looking back left;high_standing_determined_exit_back_looking_back_left;Exit;;;;0.72-1.0;0.72-1.0
;;;exit back looking back right;high_standing_determined_exit_back_looking_back_right;Exit;;;;0.72-1.0;0.72-1.0
;;;exit front passing left;high_standing_determined_exit_front_passing_left;Exit;;;;0.72-1.0;0.72-1.0
;;;exit front passing right;high_standing_determined_exit_front_passing_right;Exit;;;;0.72-1.0;0.72-1.0
;;;laugh 01;ep1_high_standing_determined_gesture_laugh01;Gesture;;;;0.72-1.0;0.72-1.0
;;;laugh 02;ep1_high_standing_determined_gesture_laugh02;Gesture;;;;0.72-1.0;0.72-1.0
;;;turn 90 left casueal left leg;ep1_high_standing_determined_turn_90left_leftleg;Gesture, Move;;;;0.72-1.0;0.72-1.0
;;;turn 90 left casueal right leg;ep1_high_standing_determined_turn_90left_rightleg;Gesture, Move;;;;0.72-1.0;0.72-1.0
;;;turn 90 right casueal left leg;ep1_high_standing_determined_turn_90right_leftleg;Gesture, Move;;;;0.72-1.0;0.72-1.0
;;;turn 90 right  casueal right leg;ep1_high_standing_determined_turn_90right_rightleg;Gesture, Move;;;;0.72-1.0;0.72-1.0
;;;hit possessed;ep1_high_standing_determined_gesture_hit_possessed;Gesture;;;;0.72-1.0;0.72-1.0
;;;possessed light front;ep1_high_standing_determined_gesture_possesed_light_front;Gesture;;;;0.72-1.0;0.72-1.0
;;;possessed light left;ep1_high_standing_determined_gesture_possesed_light_left;Gesture;;;;0.72-1.0;0.72-1.0
;;;possessed light right;ep1_high_standing_determined_gesture_possesed_light_right;Gesture;;;;0.72-1.0;0.72-1.0
;;;possessing;ep1_high_standing_determined_gesture_possesing;Gesture;;;;0.72-1.0;0.72-1.0
;;;fireeater lighting torch;ep1_fireater_igniting_the_torch;Gesture;;;;0.72-1.0;0.72-1.0
;;;evald mask on;ep1_high_stnading_determined_gesture_evald_mask_on;Gesture;;;;0.72-1.0;0.72-1.0
;;;evald mask off;ep1_high_stnading_determined_gesture_evald_mask_off;Gesture;;;;0.72-1.0;0.72-1.0
;;;ep1 to: High Sitting Bored;ep1_high_standing_determined_to_high_sitting_bored;Transition;High, Bored, Sitting;;;0.72-1.0;0.72-1.0
;;;ep1 to: High Sitting Leaning Sad;ep1_geralt_high_standing_determined_to_high_sitting_leaning_sad;Transition;High, Sad, Sitting Leaning;;;0.72-1.0;0.72-1.0
;;;ep1 to: Mirror Standing2 Pose02;ep1_mirror_high_standing_determined_to_mirror_standing_pose2;Transition;Mirror, Pose02, Standing2;;;0.72-1.0;0.72-1.0
;;;to: Shani Standing Determined;ep1_high_standing_determined_to_shani_standing_determined;Transition;Shani, Determined, Standing;;;0.72-1.0;0.72-1.0
;;;enter front with bowl;ep1_high_standing_determined_enter_front_with_bowl;Gesture;;;;0.72-1.0;0.72-1.0
;;;throwing shoe;high_standing_determined_throwing_shoe;Gesture;;;;0.72-1.0;0.4-1.0
;;;put bowl down;ep1_high_standing_determined_gesture_put_bowl_down_throw_spoon;Gesture;;;;0.72-1.0;0.72-1.0
;;;pick flower;ep1_geralt_high_standing_determined_gesture_pick_flower;Gesture;;;;0.72-1.0;0.4-1.0
;;;pick rowanberry;ep1_geralt_high_standing_determined_gesture_pick_rowanberry;Gesture;;;;0.72-1.0;0.4-1.0
;;;geralt take sword;ep1_geralt_take_sabre;Gesture;;;;0.72-1.0;0.4-1.0
;;Standing2;laugh 01;ep1_high_standing_determined2_gesture_laugh_01;Gesture;;;;0.72-1.0;0.72-1.0
;;;laugh 02;ep1_high_standing_determined2_gesture_laugh_02;Gesture;;;;0.72-1.0;0.72-1.0
;;Standing flower;idle;ep1_high_standing_flower_determined_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;give flower;ep1_high_standing_flower_determined_gesture_give_flower;Gesture;;;;0.72-1.0;0.72-1.0
;;Standing Leaning on Grate;idle;ep1_high_standing_determined_leaning_on_grate_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;Standing rowanberry;idle;ep1_high_standing_flower_determined_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;give flower;ep1_high_standing_rowanberry_determined_gesture_give_rowanberry;Gesture;;;;0.72-1.0;0.72-1.0
;;Sitting;to: Shani Standing Determined;ep1_high_sitting_determined_jump_down_pirouette_to_shani_standing_determined;Transition;Shani, Determined, Standing;;;0.72-1.0;0.72-1.0
;;Kneeling;Geralt examine item;ep1_geralt_high_kneeling_determined_gesture_examine_item;Gesture;;;;0.72-1.0;0.4-1.0
;;;Geralt leave item;ep1_geralt_high_kneeling_determined_gesture_leave_item;Gesture;;;;0.72-1.0;0.4-1.0
;;;take torch and walk forward;ep1_high_kneeling_determined_gesture_walk_and_throw_torch;Gesture;;;;0.72-1.0;0.4-1.0
;Bored;Sitting;xxx;xxx;;;;;0.72-1.0;0.4-1.0
;;;bid_01;ep1_high_sitting_bored_gesture_bid_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;bid_02;ep1_high_sitting_bored_gesture_bid_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;look around;ep1_high_sitting_bored_gesture_look_around_front;Gesture;;;;0.72-1.0;0.4-1.0
;Document Reading;Standing;idle;ep1_iris_father_document_reading_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;tear document;ep1_iris_father_document_reading_tear_document;Gesture;;;;0.72-1.0;0.4-1.0
;Happy;Standing;destroy sculpture;ep1_high_standing_happy_gesture_destroy_sculpture;Gesture;;;;0.72-1.0;0.4-1.0
;;Standing with glass;idle;ep1_woman_high_standing_with_glass_happy_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;drink wine;ep1_woman_high_standing_with_glass_happy_gesture_drink_wine;Gesture;;;;0.72-1.0;0.4-1.0
;;Sitting hold glass;xxx;xxx;;;;;0.72-1.0;0.4-1.0
;;;bid;ep1_high_sitting_hold_glass_happy_gesture_bid;Gesture;;;;0.72-1.0;0.4-1.0
;;;eye_geralt;ep1_high_sitting_hold_glass_happy_gesture_eye_geralt;Gesture;;;;0.72-1.0;0.4-1.0
;HostageSituation;Captor;idle;ep1_hostage_situation_idle_captor;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;realease hostage;ep1_hostage_situation_release_captor;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift;ep1_hostage_situation_weight_shift_captor;Gesture;;;;0.72-1.0;0.4-1.0
;HostageSituation;Hostage;idle;ep1_hostage_situation_idle_hostage;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;realease hostage;ep1_hostage_situation_release_hostage;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift;ep1_hostage_situation_weight_shift_hostage;Gesture;;;;0.72-1.0;0.4-1.0
;Proud;Podium Hammer;idle;ep1_high_standing_podium_hammer_proud_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;point 01;ep1_high_standing_podium_hammer_proud_gesture_point_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;point 02;ep1_high_standing_podium_hammer_proud_gesture_point_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;point 03;ep1_high_standing_podium_hammer_proud_gesture_point_03;Gesture;;;;0.72-1.0;0.4-1.0
;;;point 04;ep1_high_standing_podium_hammer_proud_gesture_point_04;Gesture;;;;0.72-1.0;0.4-1.0
;;;present item;ep1_high_standing_podium_hammer_proud_gesture_present_item;Gesture;;;;0.72-1.0;0.4-1.0
;;;strike hammer;ep1_high_standing_podium_hammer_proud_gesture_strike_hammer;Gesture;;;;0.72-1.0;0.4-1.0
;;Sitting chair;xxx;xxx;;;;;0.72-1.0;0.4-1.0
;;;bid_01;ep1_high_sitting_chair_proud_gesture_bid_01;Gesture;;;;0.72-1.0;0.4-1.0
;;Standing Leaning;xxx;xxx;;;;;0.72-1.0;0.4-1.0
;;;explain 01;ep1_high_standing_leaning_proud_gesture_explain_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 02;ep1_high_standing_leaning_proud_gesture_explain_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;question 01;ep1_high_standing_leaning_proud_gesture_question_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;shout 01;ep1_high_standing_leaning_proud_gesture_shout_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: High Standing2 Determined;ep1_high_standing_leaning_proud_to_high_standing2_determined;Transition;High, Determined, Standing2;;;0.72-1.0;0.4-1.0
;;Standing2;xx;xxx;;;;;0.72-1.0;0.4-1.0
;;;to: High Standing Leaning Proud;ep1_high_standing2_determined_to_high_standing_leaning_proud;Transition;High, Proud, Standing Leaning;;;0.72-1.0;0.4-1.0
;Sad;Standing;walkaround loop left;ep1_high_standing_sad_walkaround_loop_left;Gesture;;;;0.72-1.0;0.4-1.0
;;;walkaround loop right;ep1_high_standing_sad_walkaround_loop_right;Gesture;;;;0.72-1.0;0.4-1.0
;ShaniStanding;Garland;idle;ep1_shani_standing_garland_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;show garland;ep1_shani_standing_garland_gesture_show_garland;Gesture;;;;0.72-1.0;0.4-1.0
;;;talk;ep1_shani_standing_garland_gesture_talk;Gesture;;;;0.72-1.0;0.4-1.0
;;;intro;ep1_shani_standing_garland_intro;Gesture;;;;0.72-1.0;0.4-1.0
;Unconscious;Lying;idle;ep1_geralt_lying_unconscious_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;to: Low Sitting Ground Leaning Back Bored;ep1_geralt_lying_unconscious_to_low_sitting_ground_leaning_back_bored;Transition;Low, Leaning Back Bored, Sitting Ground;;;0.72-1.0;0.4-1.0
Iris;Sad;Standing;idle;ep1_iris_ugly_standing_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;touch painting;ep1_iris_ugly_touching_the_painting;Gesture;;;;0.72-1.0;0.4-1.0
Low;Bored;Sitting Ground Leaning Back;to: High Standing Determined Leaning on Grate;ep1_low_sitting_ground_leaning_back_bored_stand_up_90_right_to_high_standing_determined_leaning_on_grate;Transition;High, Determined, Standing Leaning on Grate;;;0.72-1.0;0.4-1.0
;Happy;Sitting Ground;to: High Standing Determined;ep1_low_sitting_ground_happy_get_down_and_walk_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;Hold Rose;Standing;idle;ep1_low_standing_hold_rose_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;Sad;Sitting Ground;to: Low Lying Down Happy Sleeping;ep1_low_sitting_ground_sad_to_low_lying_down_happy_sleeping;Transition;Low, Happy, Lying Sleeping;;;0.72-1.0;0.4-1.0
;;;to: Low Determined Sitting Ground Leaning On Grate;ep1_low_sitting_ground_sad_to_low_sitting_ground_leaning_on_grating;Transition;Low, Determined, Sitting Ground Leaning On Grating;;;0.72-1.0;0.4-1.0
;602 Knocked Down;Unconscious;idle;ep1_geralt_knocked_down_on_shanis_knees_idle__geralt;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;pat face;ep1_geralt_knocked_down_gesture_shani_stroking_face__geralt;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: 602 Knocked Down Awake;ep1_geralt_knocked_down_geralt_wakes_up__geralt;Transition;Low, 602 Knocked Down, Awake;;;0.72-1.0;0.4-1.0
;;Awake;idle;ep1_geralt_knocked_down_awake_idle__geralt;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;talk 1;ep1_geralt_awake_on_shanis_knees_gesture_talk1;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: Low Standing Proud;ep1_geralt_awake_on_shanis_knees_to_low_standing_proud;Transition;Low, Proud, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;ep1_geralt_awake_on_shanis_knees_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;Determined;Sitting Ground Leaning On Grating;idle;ep1_low_sitting_ground_leaning_on_grating_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;explain 01;ep1_low_sitting_ground_leaning_on_grating_gesture_explain_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 02;ep1_low_sitting_ground_leaning_on_grating_gesture_explain_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 03;ep1_low_sitting_ground_leaning_on_grating_gesture_explainzor_03;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: Low Sitting Ground Sad;ep1_low_sitting_ground_leaning_on_grating_to_low_sitting_ground_sad;Transition;Low, Sad, Sitting Ground;;;0.72-1.0;0.4-1.0
Mirror;Ground;Sitting ;idle;ep1_mirror_sitting_ground_idle;Idle;;high_sitting_determined_body_lookat, high_sitting_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;bug soup;ep1_mirror_sitting_ground_bug_the_soup;Gesture;;;;0.72-1.0;0.4-1.0
;;;clap;ep1_mirror_sitting_ground_gesture_clap;Gesture;;;;0.72-1.0;0.4-1.0
;;;gesture 01;ep1_mirror_sitting_ground_gesture_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;gesture 02;ep1_mirror_sitting_ground_gesture_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;to standing jump pose;ep1_mirror_sittng_ground_to_mirror_standing_jump_pose1;Gesture;;;;0.72-1.0;0.4-1.0
;HoldSpoon;Kneeling;idle;ep1_mirror_kneeling_hold_spoon;Idle;;high_kneeling_determined_body_lookat, high_kneeling_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;gesture 01;ep1_mirror_kneeling_hold_spoon_gesture_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;gesture 02;ep1_mirror_kneeling_hold_spoon_gesture_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;grab spoon;ep1_mirror_standing_pose2_enter_grab_spoon_from_the_floor;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: Mirror Standing HoldSpoon;ep1_mirror_kneeling_hold_spoon_to_mirror_standing_hold_spoon;Transition;Mirror, HoldSpoon, Standing;;;0.72-1.0;0.4-1.0
;;Standing;idle;ep1_mirror_standing_hold_spoon_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;enter front;ep1_mirror_standing_hold_spoon_enter_front;Enter;;;;0.72-1.0;0.4-1.0
;;;break spoon;ep1_mirror_standing_hold_spoon_gesture_break_spoon;Gesture;;;;0.72-1.0;0.4-1.0
;;;gesture 01;ep1_mirror_standing_hold_spoon_gesture_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;gesture 02;ep1_mirror_standing_hold_spoon_gesture_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;gesture 03;ep1_mirror_standing_hold_spoon_gesture_03;Gesture;;;;0.72-1.0;0.4-1.0
;;;kill patron mirror;ep1_mirror_standing_hold_spoon_enter_stop_kill_patron_exit_mirror;Gesture;;;;0.72-1.0;0.4-1.0
;;;kill patron patron;ep1_mirror_standing_hold_spoon_enter_stop_kill_patron_exit_patron;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift 01;ep1_mirror_standing_hold_spoon_weight_shift_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift 02;ep1_mirror_standing_hold_spoon_weight_shift_02;Gesture;;;;0.72-1.0;0.4-1.0
;On Shrine;Sitting;idle;ep1_mirror_sitting_on_shrine_idle;Idle;;high_sitting_determined_body_lookat, high_sitting_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;gesture 01;ep1_mirror_sitting_on_shrine_gesture_explain_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;gesture 02;ep1_mirror_sitting_on_shrine_gesture_explain_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;gesture 03;ep1_mirror_sitting_on_shrine_gesture_explain_03;Gesture;;;;0.72-1.0;0.4-1.0
;;;gesture 04;ep1_mirror_sitting_on_shrine_gesture_explain_04;Gesture;;;;0.72-1.0;0.4-1.0
;Patron;Frozen;idle;ep1_patron_frozen_idle;Idle;Mirror, Patron, Standing;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;patron freezes;ep1_patron_freezes;Gesture;;;;0.72-1.0;0.4-1.0
;Pose01;Standing;idle;ep1_mirror_standing_pose1_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;descend end;ep1_mirror_standing_pose1_descend_end;Gesture;;;;0.72-1.0;0.4-1.0
;;;descend loop;ep1_mirror_standing_pose1_descend_loop;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 01;ep1_mirror_standing_pose1_gesture_explain_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 02;ep1_mirror_standing_pose1_gesture_explain_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 03;ep1_mirror_standing_pose1_gesture_explain_03;Gesture;;;;0.72-1.0;0.4-1.0
;;;question 01;ep1_mirror_standing_pose1_gesture_question_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;question 02;ep1_mirror_standing_pose1_gesture_question_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;question 03;ep1_mirror_standing_pose1_gesture_question_03;Gesture;;;;0.72-1.0;0.4-1.0
;;;shrug 01;ep1_mirror_standing_pose1_gesture_shrug_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;shrug 02;ep1_mirror_standing_pose1_gesture_shrug_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift 01;ep1_mirror_standing_pose1_weight_shift_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift 02;ep1_mirror_standing_pose1_weight_shift_02;Gesture;;;;0.72-1.0;0.4-1.0
;Pose02;Standing2;idle;ep1_mirror_standing_pose2_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;explain 01;ep1_mirror_standing_pose2_gesture_explain_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 02;ep1_mirror_standing_pose2_gesture_explain_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;question 01;ep1_mirror_standing_pose2_gesture_question_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;question 02;ep1_mirror_standing_pose2_gesture_question_02;Gesture;;;;0.72-1.0;0.4-1.0
Olgierd;Bored;Sitting onCouch;idle;ep1_olgierd_sitting_oncouch_bored_idle;Idle;;high_sitting_happy_body_lookat, high_sitting_happy_head_lookat;;0.72-1.0;0.4-1.0
;;;anointing occasion;ep1_olgierd_sitting_oncouch_bored_gesture_anointing_occasion;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 01;ep1_olgierd_sitting_oncouch_bored_gesture_explain_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 02;ep1_olgierd_sitting_oncouch_bored_gesture_explain_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;gourme;ep1_olgierd_sitting_oncouch_bored_gesture_gourme;Gesture;;;;0.72-1.0;0.4-1.0
;;;hit wall;ep1_olgierd_sitting_oncouch_bored_gesture_hit_wall;Gesture;;;;0.72-1.0;0.4-1.0
;;;question 01;ep1_olgierd_sitting_oncouch_bored_gesture_question_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;question 02;ep1_olgierd_sitting_oncouch_bored_gesture_question_02;Gesture;;;;0.72-1.0;0.4-1.0
