Voicetag;Sex;Pitch;Template;Id
AUCTION HOUSE CLERK 01;M;;;AURK1
AUCTION HOUSE CLERK 02;M;;;AURK2
AUCTION HOUSE CLERK 03;M;;;AURK3
AUCTION HOUSE GUARD 01;M;;;AUGD1
AUCTION HOUSE GUARD 02;M;;;AUGD2
AUCTION HOUSE GUARD 03;M;;;AUGD3
AUCTION HOUSE GUARD 04;M;;;AUGD4
AUCTION HOUSE GUARD 05;M;;;AUGD5
AEDRIN SOLDIER;;;;AEDR
BRIDE;F;;;BRID
BRIDE MOTHER;F;;;BRMO
BRIDE FATHER;M;;;BRFA
BRIDESMAIDS;F;;;BRMA
CANNIBAL OLD MAN;M;;;COM
CANNIBAL OLD WOMAN;F;;;COW
CARETAKER;M;;;CTAK
COUNTESS MIGNOLE;F;;;COMIG
CIRCUS ARTIST;F;;;CAIST
CIRCUS MERCHANT;M;;;CMECH
CRAZY SCHOLAR;M;;;CRSH
DEOVOL;M;;;DEOV
DEMOLITION DWARF;M;;;DEMOD
DEMON CAT;M;;;DCAT
DEMON DOG;F;;;DDOG
DRUNK WEDDING GUEST MAN 01;M;;;DWGM01
DRUNK WEDDING GUEST MAN 02;M;;;DWGM02
DRUNK WEDDING GUEST MAN 03;M;;;DWGM03
DRUNK WEDDING GUEST MAN 04;M;;;DWGM04
DRUNK WEDDING GUEST MAN 05;M;;;DWGM05
DRUNK WEDDING GUEST MAN 06;M;;;DWGM06
DRUNK WEDDING GUEST WOMAN 01;F;;;DWGW01
DRUNK WEDDING GUEST WOMAN 02;F;;;DWGW02
DRUNK WEDDING GUEST WOMAN 03;F;;;DWGW03
DRUNK WEDDING GUEST WOMAN 04;F;;;DWGW04
DRUNK WEDDING GUEST WOMAN 05;F;;;DWGW05
DRUNK WEDDING GUEST WOMAN 06;F;;;DWGW06
EVERC GRANDPA;M;;;EVGP
EVERC GRANDMA;F;;;EVGM
EVERC AUNT;F;;;EVAU
EVERC UNCLE;M;;;EVUN
EVERC COUSIN;M;;;EVCO
EWALD BORSODY;M;;;EWBOR
GIRL VICTIM;F;;;GVIC
GROOM;M;;;GROM
GROOM MOTHER;F;;;GRMO
HAKLAND SOLIDER 01;M;;;HKS01
HAKLAND SOLDIER 02;M;;;HKS02
HAKLAND SOLDIER 03;M;;;HKS03
HAKLAND SOLDIER 04;M;;;HKS04
HAKLAND MERCHANT;M;;;HKMER
HAKLAND MAGE;M;;;HKSOR
HAKLAND ENCHANTER;M;;;HKECH
HORST BORSODY;M;;;HRBOR
NEGOTIATOR;M;;;NEOR
IRIS;F;;;IRIS
OLGIERD BANDIT 01;M;;;OLGB01
OLGIERD BANDIT 02;M;;;OLGB02
OLGIERD BANDIT 03;M;;;OLGB03
OLGIERD BANDIT 04;M;;;OLGB04
OLGIERD BANDIT 05;M;;;OLGB05
OLGIERD BANDIT 06;M;;;OLGB06
OLGIERD BANDIT 07;M;;;OLGB07
OLGIERD BANDIT 08;M;;;OLGB08
OLGIERD BANDIT FEMALE 01;F;;;OLGBF01
OLGIERD BANDIT FEMALE 02;F;;;OLGBF02
OLGIERD BANDIT FEMALE 03;F;;;OLGBF03
BANDIT CHORUS;M;;;OBCH
OLGIERD;M;;;OLGD
OLGIERD BROTHER;M;;;OLBR
OXENFURT PRISONER;M;;;OXNPR
RESCUED HERBALIST 01;M;;;REHB01
ROGUE KNIGHT STRONG  01;M;;;RKS01
ROGUE KNIGHT STRONG  02;M;;;RKS02
ROGUE KNIGHT STRONG  03;M;;;RKS03
ROGUE KNIGHT STRONG  04;M;;;RKS04
ROGUE KNIGHT STRONG  05;M;;;RKS05
ROGUE KNIGHT WEAK 01;M;;;RKW01
ROGUE KNIGHT WEAK 02;M;;;RKW02
ROGUE KNIGHT WEAK 03;M;;;RKW03
ROGUE KNIGHT WEAK 04;M;;;RKW04
ROGUE KNIGHT WEAK 05;M;;;RKW05
ROGUE KNIGHT LEADER;M;;;RGKL
SAFECRACKER;M;;;SECER
SHANI;F;;;SHNI
TAX COLLECTOR;M;;;TXCOL
WEDDING BAND;M;;;WEDB
