name;probability;windScale;blendTime;skybox;fakeShadow;backgroundThunder;envPath;envBlend;occurenceTime;1_effect;1_priority;1_prob;1_strength;1_type;2_effect;2_priority;2_prob;2_strength;2_type;3_effect;3_priority;3_prob;3_strength;3_type;4_effect;4_priority;4_prob;4_strength;4_type;5_effect;5_priority;5_prob;5_strength;5_type;AH
WT_Clear;0.2;0.2;120;1;0;false;;;900;;;;;;fx\environment\cloud\clear_layer_mesh.w2p;80;1.0;1.0;CLOUDS;;;;;;;;;;;;;;;;
WT_Rain_Storm;0.15;1.0;120;1;4;true;environment\definitions\env_novigrad\env_novigrad_dark_clouds_heavy_rain_color.env;1.0;500;fx\environment\cloud\storm_layer_mesh_softer.w2p;90;1.0;1.0;CLOUDS;fx\environment\cloud\cumulus_particles_big.w2p;80;1.0;1.0;CLOUDS;fx\environment\rain\storm\rain_storm_fx.w2p;60;1.0;1.0;RAIN;fx\environment\sky\thunderstrike_distant.w2p;70;0.8;1.0;RAIN;;;;;;
WT_Light_Clouds;0.3;0.3;120;1;1;false;;;900;fx\environment\cloud\clear_layer_mesh_thin.w2p;70;1.0;1.0;;fx\environment\cloud\cirrus_layer_mesh.w2p;80;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh.w2p;70;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_Mid_Clouds;0.6;0.5;120;1;2;false;;;900;fx\environment\cloud\cumulus_layer_particles_new.w2p;90;1.0;1.0;CLOUDS;fx\environment\cloud\cumulus_layer_particles.w2p;70;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh.w2p;80;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh_2.w2p;70;0.5;1.0;CLOUDS;;;;;;
WT_Mid_Clouds_Dark;0.1;0.7;120;1;3;false;environment\definitions\env_novigrad\env_novigrad_dark_clouds.env;1.0;500;;;;;;fx\environment\cloud\cumulus_layer_particles.w2p;70;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh_2.w2p;80;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_Heavy_Clouds;0.3;0.9;120;1;3;false;;;800;fx\environment\cloud\cumulus_layer_particles_big_far.w2p;70;1.0;1.0;CLOUDS;fx\environment\cloud\cumulus_particles_big.w2p;70;1.0;1.0;CLOUDS;fx\environment\cloud\clear_layer_mesh_whole.w2p;80;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_Heavy_Clouds_Dark;0.1;0.8;120;1;4;false;environment\definitions\env_novigrad\env_novigrad_dark_clouds_heavy.env;1.0;500;fx\environment\rain\low\rain_low_fx.w2p;70;1.0;1.0;RAIN;fx\environment\cloud\cumulus_particles_big_shafts.w2p;80;1.0;1.0;CLOUDS;fx\environment\cloud\storm_layer_mesh_softer.w2p;90;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_Grey_Sky;0.2;0.6;120;1;3;false;environment\definitions\env_novigrad\env_novigrad_grey_sky.env;1.0;800;fx\environment\cloud\storm_layer_mesh_slow.w2p;90;1.0;1.0;CLOUDS;fx\environment\cloud\cirrus_layer_mesh_2.w2p;80;1.0;1.0;CLOUDS;fx\environment\cloud\cumulus_layer_particles_big_far.w2p;90;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_Snow;0.0;0.3;120;1;3;false;environment\definitions\env_skellige\env_winter_skellige.env;1.0;1000;fx\environment\snow\low\slow_snow_large_area.w2p;60;1.0;1.0;SNOW;fx\environment\cloud\cumulus_layer_particles.w2p;70;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh_3.w2p;80;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_q604_Snow;0.0;0.6;120;1;3;false;environment\definitions\env_skellige\env_winter_skellige.env;1.0;50000;fx\environment\snow\q604_blizzard.w2p;90;1.0;1.0;SNOW;;;;;;;;;;;;;;;;;;;;;
WT_q605_Hell;0.0;0.7;120;1;3;false;;;50000;fx\environment\cloud\cumulus_particles_big.w2p;90;1.0;1.0;CLOUDS;fx\environment\area_camera_effects\q605_hell_fog.w2p;80;1.0;1.0;CLOUDS;;;;;;;;;;;;;;;;
