name;probability;windScale;blendTime;skybox;fakeShadow;backgroundThunder;envPath;envBlend;occurenceTime;1_effect;1_priority;1_prob;1_strength;1_type;2_effect;2_priority;2_prob;2_strength;2_type;3_effect;3_priority;3_prob;3_strength;3_type;4_effect;4_priority;4_prob;4_strength;4_type;5_effect;5_priority;5_prob;5_strength;5_type;AH
WT_Clear;0.0;0;120;1;0;false;;;1200;;;;;;fx\environment\cloud\cirrus_layer_mesh_2.w2p;80;1.0;1.0;CLOUDS;;;;;;;;;;;;;;;;
WT_Rain_Storm;0.0;1.0;120;1;0;true;environment\definitions\env_novigrad\env_novigrad_storm.env;;600;fx\environment\cloud\storm_layer_mesh.w2p;80;1.0;1.0;CLOUDS;fx\environment\rain\storm\rain_storm_fx.w2p;70;1.0;1.0;RAIN;;;;;;;;;;;;;;;;
WT_Light_Clouds;0.0;0.3;120;1;1;false;;;1200;;;;;;fx\environment\cloud\cirrus_layer_mesh.w2p;80;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh.w2p;70;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_Mid_Clouds;0.8;0.7;120;1;2;false;;;1200;fx\environment\cloud\altocumulus_layer_mesh_2.w2p;90;1.0;1.0;CLOUDS;fx\environment\cloud\cumulus_layer_particles.w2p;70;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh.w2p;80;0.4;1.0;CLOUDS;;;;;;;;;;;
WT_Vesemir_burial_hour_3_30;0.0;0.6;120;1;2;false;environment\definitions\kaer_morhen\kaer_morhen_global\env_kaer_morhen_vesemir_v0_hour_3_30.env;1.0;1200;;;;;;fx\environment\cloud\cumulus_layer_particles.w2p;70;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh_2.w2p;80;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_Heavy_Clouds;0.3;0.8;120;1;3;false;;1.0;800;;;;;;fx\environment\cloud\cumulus_particles_big.w2p;70;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh_3.w2p;80;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_Heavy_Clouds_Dark;0.3;0.8;120;1;4;false;;1.0;500;fx\environment\rain\low\rain_low_fx.w2p;70;1.0;1.0;RAIN;fx\environment\cloud\cumulus_particles_big_shafts.w2p;80;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh_3.w2p;90;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_Blizzard;0.0;0.95;120;1;4;false;environment\definitions\env_winter\env_winter_epilog_white_grass.env;1.0;1200;fx\environment\cloud\blizzard_layer_mesh.w2p;90;1.0;1.0;CLOUDS;fx\environment\snow\storm\heavy_snow.w2p;80;1.0;1.0;SNOW;;;;;;;;;;;;;;;;
WT_Battle;0.0;0.95;120;1;3;false;environment\definitions\kaer_morhen\kaer_morhen_battle\wip\kaer_morhen_battle_preview_01.env;1.0;1200;;;;;;fx\environment\cloud\cumulus_particles_big_shafts.w2p;70;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh_3.w2p;80;1.0;1.0;CLOUDS;;;;;;;;;;;
WT_Battle_Forest;0.0;1.0;120;1;3;false;environment\definitions\kaer_morhen\kaer_morhen_battle\wip\kaer_morhen_battle.env;1.0;1200;fx\environment\cloud\altocumulus_layer_mesh_2.w2p;90;1.0;1.0;CLOUDS;fx\environment\cloud\cumulus_layer_particles.w2p;70;1.0;1.0;CLOUDS;fx\environment\cloud\altocumulus_layer_mesh.w2p;80;1.0;1.0;CLOUDS;;;;;;;;;;;
