sectionID;Name;Title;x;y;time;delay
1;;credits_SAPKOWSKI;94;590;8;2
;;;;;;
2;ADAM BADOWSKI;credits_STUDIO_HEAD;212;360;7;2
;;;;;;
3;JOHN MAMAIS;credits_EXECUTIVE_PRODUCER;566;338;7;2
;;;;;;
4;KONRAD TOMASZKIEWICZ;credits_GAME_DIRECTOR;962;360;7;2
4;PIOTR KRZYWONOSIUK;credits_LEAD_PRODUCER;962;360;7;2
;;;;;;
5;BALÁZS TÖRÖK;credits_ENGINE_LEAD;1122;827;6;2
5;KRZYSZTOF KRZYŚCIN;credits_TECHNICAL_ART_DIRECTOR;1122;827;6;2
5;GRZEGORZ MOCARSKI;credits_GAMEPLAY_LEAD;1122;827;6;2
;;;;;;
6;MARCIN BLACHA;credits_LEAD_WRITER;122;360;6;2
6;MATEUSZ TOMASZKIEWICZ;credits_LEAD_QUEST_DESIGNER;122;360;6;2
6;BORYS PUGACZ-MURASZKIEWICZ;credits_LEAD_ENGLISH_WRITER;122;360;6;2
;;;;;;
7;LUCJAN WIĘCEK;credits_LEAD_ENVIRONMENT_ARTIST;1082;719;7;2
7;PAWEŁ MIELNICZUK;credits_LEAD_CHARACTER_ARTIST;1082;719;7;2
7;PAWEŁ ŚWIERCZYŃSKI;credits_CINEMATICS_LEAD;1082;719;7;2
7;JAMIE LEE BURY;credits_LEAD_ANIMATOR;1082;719;7;2
;;;;;;
8;MARCIN PRZYBYŁOWICZ;credits_MUSIC_DIRECTOR;1067;337;7;2
;;;;;;
9;;credits_SECONDARY_DIRECTION_FROM;212;661;6;2
9;MATEUSZ KANIK;credits_GAME_DIRECTOR;212;661;6;2
9;JĘDRZEJ MRÓZ;credits_LEAD_PRODUCER;212;661;6;2
9;SEBASTIAN STĘPIEŃ;credits_CREATIVE_DIRECTOR;212;661;6;2
9;MARIAN CHOMIAK;credits_ART_DIRECTOR;212;661;6;2
9;WILLIAM DALY;credits_LEAD_CHARACTER_ARTIST;212;661;6;2
;;;;;;
10;PRZEMYSŁAW WÓJCIK;credits_GAME_QA_LEAD;202;360;5;1
10;JAKUB KUTRZUBA;credits_ENGINE_QA_LEAD;202;360;5;1
;;;;;;
11;;SCROLLING;;;;
11;;CD PROJEKT RED;;;;
11;;;;;;
11;;;;;;
11;;credits_PRODUCERS;;;;
11;GRZEGORZ RDZANY;;;;;
11;DOMINIKA GONSIEROWSKA;;;;;
11;MIKOŁAJ SZWED;;;;;
11;MICHAŁ STEC;;;;;
11;STAN JUST;;;;;
11;PAWEŁ WILKOS;;;;;
11;JOANNA STRZELECKA-TAZBIR;;;;;
11;JAN STRZYŻEWSKI;;;;;
11;;;;;;
11;;credits_GAMEPLAY_PROGRAMMERS;;;;
11;PIOTR TOMSIŃSKI;;;;;
11;MICHAŁ SŁAPA;;;;;
11;MACIEJ SAWITUS;;;;;
11;TOMASZ WÓJCIK;;;;;
11;MICHAŁ SOBIECKI;;;;;
11;JASON SLAMA;;;;;
11;PAWEŁ MARKOWSKI;;;;;
11;EDUARD LOPEZ;;;;;
11;MARCIN LUSA;;;;;
11;MAŁGORZATA SAWITUS;;;;;
11;TOMASZ CZARNY;;;;;
11;PIOTR BRENDEL;;;;;
11;FILIP PIERŚCIŃSKI;;;;;
11;DANIEL BETKE;;;;;
11;RADOSŁAW GRABOWSKI;;;;;
11;SZYMON IWAŃSKI;;;;;
11;ŁUKASZ ŁUKASIK;;;;;
11;TETYANA MELESHCHENKO;;;;;
11;DMYTRO KULYKOV;;;;;
11;OLIVER LOCKWOOD;;;;;
11;PIOTR KOWALCZYK;;;;;
11;;;;;;
11;;credits_ENGINE_PROGRAMMERS;;;;
11;MARCIN GOLLENT;;;;;
11;ŁUKASZ MROZOWSKI-ZIĘBA;;;;;
11;KONSTANTINOS MICHALOPOULOS;;;;;
11;ADAM CICHOCKI;;;;;
11;MATTHEW HOYLE;;;;;
11;PIOTR OBRZUT;;;;;
11;CHARLES TREMBLAY-CORBEIL;;;;;
11;TOMASZ JONARSKI;;;;;
11;PRZEMYSŁAW CZATROWSKI;;;;;
11;DAVID BLOCK;;;;;
11;TIM GREEN;;;;;
11;ŁUKASZ WOŁOWIEC;;;;;
11;DANIEL NEVE;;;;;
11;JORDI POZO PRADES;;;;;
11;ADAM DUTKIEWICZ;;;;;
11;KAMIL NOWAKOWSKI;;;;;
11;JOWITA HĄCIA;;;;;
11;ŁUKASZ KADEJ;;;;;
11;RAFAŁ SIERAWSKI;;;;;
11;ADRIAN DĄBROWSKI;;;;;
11;;;;;;
11;;credits_WRITERS;;;;
11;ARKADIUSZ BOROWIK;;;;;
11;JAKUB SZAMAŁEK;;;;;
11;KAROLINA STACHYRA;;;;;
11;ALEKSANDRA MOTYKA;;;;;
11;BARTOSZ OCHMAN;;;;;
11;;;;;;
11;;credits_QUEST_DESIGNERS;;;;
11;JOANNA RADOMSKA;;;;;
11;JAKUB ROKOSZ;;;;;
11;PAWEŁ SASKO;;;;;
11;ANISH ANTONY;;;;;
11;KAROLINA KUZIA;;;;;
11;DENNIS ZOETEBIER;;;;;
11;DANISZ MARKIEWICZ;;;;;
11;NIKOLAS KOLM;;;;;
11;PATRICK K. MILLS;;;;;
11;GRZEGORZ SADZIŃSKI;;;;;
11;SARAH GRÜMMER;;;;;
11;STEPHEN RHODES;;;;;
11;PHILIPP WEBER;;;;;
11;ANTONI STRZAŁKOWSKI;;;;;
11;BŁAŻEJ AUGUSTYNEK;;;;;
11;MACIEJ DUDA;;;;;
11;;;;;;
11;;credits_GAME_DESIGNERS;;;;
11;MARWIN SO;;;;;
11;PATRYK FIUTOWSKI;;;;;
11;MARCIN JANISZEWSKI;;;;;
11;ŁUKASZ SZCZEPANKOWSKI;;;;;
11;BRAD LANSFORD;;;;;
11;DAMIEN MONNIER;;;;;
11;MATTHEW STEINKE;;;;;
11;ANDRZEJ KWIATKOWSKI;;;;;
11;MICHAŁ DOBROWOLSKI;;;;;
11;TOMASZ KOZERA;;;;;
11;WOJCIECH ŻEREK;;;;;
11;RYAN PERGENT;;;;;
11;SHADI DADENJI;;;;;
11;PAWEŁ KAPAŁA;;;;;
11;ŁUKASZ WNĘK;;;;;
11;;;;;;
11;;credits_UI_TEAM;;;;
11;DAN MARIAN VOINESCU;;;;;
11;YAROSLAV GETSEVICH;;;;;
11;FERNANDO FORERO;;;;;
11;VLADIMIR VILIMOVSKY;;;;;
11;BARTOSZ BIGAJ;;;;;
11;;;;;;
11;;credits_CONCEPT_ARTISTS;;;;
11;JAN MAREK;;;;;
11;MONIKA ZAWISTOWSKA;;;;;
11;MAREK MADEJ;;;;;
11;;;;;;
11;;credits_CHARACTER_ARTISTS;;;;
11;MARCIN BŁASZCZAK;;;;;
11;GRZEGORZ CHOJNACKI;;;;;
11;DOMINIK MILECKI;;;;;
11;MARCIN KLICKI;;;;;
11;OVIDIU-TIBERIU VOICA;;;;;
11;ANTONIO JOSE GONZALEZ BENITEZ;;;;;
11;WOJCIECH MICHALSKI;;;;;
11;TOMASZ STRYJEWSKI;;;;;
11;SEBASTIAN BĄKAŁA;;;;;
11;GRZEGORZ MAGIERA;;;;;
11;;;;;;
11;;credits_ENVIRONMENT_ARTISTS;;;;
11;MICHAŁ BUCZKOWSKI;;;;;
11;DANIEL OLEJNIK;;;;;
11;JONAS MATTSSON;;;;;
11;MARCIN MICHALSKI;;;;;
11;SEBASTIAN NOWAK;;;;;
11;KRZYSZTOF KORNATKA;;;;;
11;DANIEL CORDELL;;;;;
11;MICHAŁ JANISZEWSKI;;;;;
11;LEN DE GRACIA;;;;;
11;MICHAŁ STELMACHOWICZ;;;;;
11;MARK FOREMAN;;;;;
11;FRANCISCO JAVIER PINTOR GALLARDO;;;;;
11;SIMON BESOMBES;;;;;
11;JACEK MAJ;;;;;
11;JOANNA KRÓLAK;;;;;
11;ŁUKASZ ŁAKOMSKI;;;;;
11;SEBASTIAN SPŁUSZKA;;;;;
11;KACPER NIEPOKÓLCZYCKI;;;;;
11;;;;;;
11;;credits_LEVEL_DESIGNERS;;;;
11;PÉTER GELENCSÉR;;;;;
11;ADAM WROTEK;;;;;
11;MILES TOST;;;;;
11;ŁUKASZ MAJ;;;;;
11;;;;;;
11;;credits_LIGHTING_ARTISTS;;;;
11;KAMIL GRZELAK;;;;;
11;KRZYSZTOF OLBORSKI;;;;;
11;NORBERT NAROŻNIK;;;;;
11;;;;;;
11;;credits_CINEMATIC_ARTISTS;;;;
11;IGOR SARZYŃSKI;;;;;
11;ARTUR BIELENICA;;;;;
11;PIOTR JANISZEWSKI;;;;;
11;PIOTR KRYSIK;;;;;
11;JAKUB BEN;;;;;
11;ALEKSANDER KRAŚNIEWICZ-KRAŚNICKI;;;;;
11;KAJETAN KAPUŚCIŃSKI;;;;;
11;MARTYNA MAREK;;;;;
11;BARTOSZ NOWAK;;;;;
11;PAWEŁ OCHOCKI;;;;;
11;ANETA PASŁAWSKA;;;;;
11;MACIEJ PIETRAS;;;;;
11;ROBERT STONEMAN;;;;;
11;;;;;;
11;;credits_CHARACTER_ANIMATORS;;;;
11;DARIA ZAWADA;;;;;
11;MICHAŁ CZERNIEC;;;;;
11;SOHEYL MOHAMMAD;;;;;
11;DMYTRO ISHCHENKO;;;;;
11;TYCJAN BARTUŚ;;;;;
11;SEBASTIAN KALEMBA;;;;;
11;LUCIE SCHAAR;;;;;
11;SANTIAGO SOLARTE DIAGO;;;;;
11;MARTA ZDUNEK;;;;;
11;;;;;;
11;;credits_TECHNICAL_ARTISTS;;;;
11;PATRYK BRZOZOWSKI;;;;;
11;ŁUKASZ HORZELSKI;;;;;
11;JAKUB MADEŁA;;;;;
11;EMIL DZIEWANOWSKI;;;;;
11;MARTIN THORZEN;;;;;
11;;;;;;
11;;credits_VFX_ARTISTS;;;;
11;PAWEŁ KWIATEK;;;;;
11;JOSÉ TEIXEIRA;;;;;
11;KONRAD ZIOMEK;;;;;
11;;;;;;
11;;credits_SOUND_DESIGNERS;;;;
11;PAWEŁ DAUDZWARD;;;;;
11;KRZYSZTOF LIPKA;;;;;
11;LASZLO VINCZE;;;;;
11;PRZEMYSŁAW LASZCZYK;;;;;
11;;;;;;
11;;credits_LOCALIZATION_MANAGEMENT;;;;
11;AINARA ECHANIZ OLAIZOLA;;;;;
11;ALEXANDRE BOIRET;;;;;
11;;;;;;
11;;credits_ENGLISH_TRANSLATION;;;;
11;TRAVIS CURRIT;;;;;
11;;;;;;
11;;credits_QA_CONTENT_MANAGER;;;;
11;BARTOSZ OCHMAN;;;;;
11;;;;;;
11;;credits_GAMEPLAY_QA_COORDINATORS;;;;
11;ŁUKASZ BABIEL;;;;;
