Status;Emotional state;Pose;Friendly name;Animation name;Animation type;Transition;Look ats;Tags;Dialog generator - animation speed;Generator generator - animation weight
High;Aggressive;Standing;idle;high_standing_aggressive_idle;Idle;;high_standing_aggressive_body_lookat, high_standing_aggressive_head_lookat;;0.72-1.0;0.4-1.0
;;;enter back;high_standing_aggressive_enter_back;Enter;;;;0.72-1.0;0.4-1.0
;;;enter front;high_standing_aggressive_enter_frontal;Enter;;;;0.72-1.0;0.4-1.0
;;;enter left;high_standing_aggressive_enter_leftside;Enter;;;;0.72-1.0;0.4-1.0
;;;enter right;high_standing_aggressive_enter_rightside;Enter;;;;0.72-1.0;0.4-1.0
;;;exit back;high_standing_aggressive_exit_back;Exit;;;;0.72-1.0;0.4-1.0
;;;exit front;high_standing_aggressive_exit_frontal;Exit;;;;0.72-1.0;0.4-1.0
;;;exit left;high_standing_aggressive_exit_leftside;Exit;;;;0.72-1.0;0.4-1.0
;;;exit right;high_standing_aggressive_exit_rightside;Exit;;;;0.72-1.0;0.4-1.0
;;;1 step forward;high_standing_aggressive_walk_one_step_forward_casual;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;2 steps forward;high_standing_aggressive_walk_two_steps_forward_casual;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;3 steps forward;high_standing_aggressive_walk_three_steps_forward_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;2 steps back;high_standing_aggressive_walk_two_steps_back_casual;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;2 steps left;high_standing_aggressive_walk_two_steps_left_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;2 steps left 90;high_standing_aggressive_walk_two_steps_left_90_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;5 steps left;high_standing_aggressive_walk_5_steps_left_casual;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;2 steps right;high_standing_aggressive_walk_two_steps_right_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;2 steps right 90;high_standing_aggressive_walk_two_steps_right_90_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;walk and back front;high_standing_aggressive_walk_and_back_front;Gesture;;;;0.72-1.0;0.4-1.0
;;;walk and back left;high_standing_aggressive_walk_and_back_left;Gesture;;;;0.72-1.0;0.4-1.0
;;;walk and back right;high_standing_aggressive_walk_and_back_right;Gesture;;;;0.72-1.0;0.4-1.0
;;;both hands 1;high_standing_aggressive_gesture_both_hands_1;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;left hand flick 1;high_standing_aggressive_gesture_left_hand_flick_1;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;left hand point down;high_standing_aggressive_gesture_left_hand_point_down;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;left hand wave 1;high_standing_aggressive_gesture_left_hand_wave_1;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;point forward (left);high_standing_aggressive_gesture_point_forward_l;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;point forward (right);high_standing_aggressive_gesture_point_forward_r;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;decline 01;high_standing_aggressive_gesture_decline_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 01;high_standing_aggressive_gesture_explain_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 02;high_standing_aggressive_gesture_explain_02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 03;high_standing_aggressive_gesture_explain_03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 04;high_standing_aggressive_gesture_explain_04;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;question 01;high_standing_aggressive_gesture_question_01;Gesture;;;Talk, Question;0.72-1.0;0.4-1.0
;;;question 02;high_standing_aggressive_gesture_question_02;Gesture;;;Talk, Question;0.72-1.0;0.4-1.0
;;;question 03;high_standing_aggressive_gesture_question_03;Gesture;;;Talk, Question;0.72-1.0;0.4-1.0
;;;question 04;high_standing_aggressive_gesture_question_04;Gesture;;;Talk, Question;0.72-1.0;0.4-1.0
;;;shout 01;high_standing_aggressive_gesture_shout_01;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;shout 02;high_standing_aggressive_gesture_shout_02;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;point back right hand;high_standing_aggressive_gesture_point_back_r;Gesture;;;;0.72-1.0;0.4-1.0
;;;point forward right hand;high_standing_aggressive_gesture_point_forward_r;Gesture;;;;0.72-1.0;0.4-1.0
;;;point left;high_standing_aggressive_gesture_point_left;Gesture;;;;0.72-1.0;0.4-1.0
;;;point right;high_standing_aggressive_gesture_point_right;Gesture;;;;0.72-1.0;0.4-1.0
;;;pfff;high_standing_aggressive_gesture_pfff;Gesture;;;Listen;0.72-1.0;0.4-1.0
;;;statement;high_standing_aggressive_gesture_statement;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;shrug;high_standing_aggressive_gesture_shrug;Gesture;;;Talk, Listen;0.72-1.0;0.4-1.0
;;;you02;high_standing_aggressive_gesture_you_01;Gesture;;;Talk, Question;0.72-1.0;0.4-1.0
;;;you;high_standing_aggressive_gesture_you;Gesture;;;Talk, Question;0.72-1.0;0.4-1.0
;;;sigh;high_standing_aggressive_gesture_sigh;Gesture;;;Listen;0.72-1.0;0.4-1.0
;;;sigh_big;high_standing_aggressive_gesture_sigh_big;Gesture;;;Listen;0.72-1.0;0.4-1.0
;;;wave away;high_standing_aggressive_gesture_wave_away;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;weight shift 01;high_standing_aggressive_gesture_weight_shift_01;Gesture;;;Add, Talk, Listen;0.72-1.0;0.4-1.0
;;;weight shift 02;high_standing_aggressive_gesture_weight_shift_02;Gesture;;;Add, Talk, Listen;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;high_standing_aggressive_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Sitting Aggressive;high_standing_aggressive_to_high_sitting_aggressive;Transition;High, Aggressive, Sitting;;;0.72-1.0;0.4-1.0
;;;to: High Sitting Leaning Aggressive;high_standing_aggressive_to_high_sitting_leaning_aggressive;Transition;High, Aggressive, Sitting Leaning;;;0.72-1.0;0.4-1.0
;;;to: High Standing Sad;high_standing_aggressive_to_high_standing_sad;Transition;High, Sad, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Standing Proud;high_standing_aggressive_to_high_standing_proud;Transition;High, Proud, Standing;;;0.72-1.0;0.4-1.0
