W2Fact;Value;NewFact
act1_finished_with_iorweth;1;import_iorweth_path
riszon_let_go;1;import_letho_alive
sheala_escape;1;import_sheala_alive
q215r_henselt_lives;1;import_henselt_alive
q308_triss_saved;1;import_council_exists
q000_duel_with_arjan_start;1;import_arjan_dead
q000_fight_with_everyone;1;import_arjan_dead
q307_freed_dragon;1;import_saskia_alive
q303_redania_done;1;import_radowid_has_anais
q308_triss_saved;1;import_geralt_rescued_triss
q212_met_odrin_entry;1;import_odrin_met
sq102_got_tatoo;1;import_geralt_has_tattoo
interactive_scholars_participation_agreed;1;import_geralt_drank_mysterious_potion
